Addr: 4 ; Command: 1 ; Pressure: -98,3379500 kPa ; Time: 22:30:36.864 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374500 kPa ; Time: 22:30:37.864 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357200 kPa ; Time: 22:30:38.911 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362900 kPa ; Time: 22:30:39.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:30:40.883 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:41.899 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328400 kPa ; Time: 22:30:42.901 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:43.919 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:44.900 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:30:45.899 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:30:46.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:47.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:30:48.898 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3356900 kPa ; Time: 22:30:49.894 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:30:50.891 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333900 kPa ; Time: 22:30:51.906 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351100 kPa ; Time: 22:30:52.953 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:30:53.926 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:54.937 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351300 kPa ; Time: 22:30:55.990 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357000 kPa ; Time: 22:30:56.939 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367800 kPa ; Time: 22:30:57.950 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379400 kPa ; Time: 22:30:58.935 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374500 kPa ; Time: 22:30:59.935 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374500 kPa ; Time: 22:31:00.934 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367900 kPa ; Time: 22:31:01.933 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:31:02.965 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:31:03.959 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:31:04.973 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3323200 kPa ; Time: 22:31:05.970 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328200 kPa ; Time: 22:31:06.971 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328200 kPa ; Time: 22:31:07.970 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328200 kPa ; Time: 22:31:08.973 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316600 kPa ; Time: 22:31:09.977 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333900 kPa ; Time: 22:31:10.976 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328200 kPa ; Time: 22:31:11.991 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328100 kPa ; Time: 22:31:13.036 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339700 kPa ; Time: 22:31:14.021 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333900 kPa ; Time: 22:31:15.021 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:31:16.019 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:31:17.021 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:31:18.010 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367800 kPa ; Time: 22:31:19.014 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357000 kPa ; Time: 22:31:20.029 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3356900 kPa ; Time: 22:31:21.046 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362700 kPa ; Time: 22:31:22.059 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:31:23.061 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374200 kPa ; Time: 22:31:24.062 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379200 kPa ; Time: 22:31:25.081 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379200 kPa ; Time: 22:31:26.068 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3385000 kPa ; Time: 22:31:27.065 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3402300 kPa ; Time: 22:31:28.061 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3419600 kPa ; Time: 22:31:29.076 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3442800 kPa ; Time: 22:31:30.133 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3431200 kPa ; Time: 22:31:31.104 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3419600 kPa ; Time: 22:31:32.091 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3413800 kPa ; Time: 22:31:33.099 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3408200 kPa ; Time: 22:31:34.136 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396500 kPa ; Time: 22:31:35.122 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379200 kPa ; Time: 22:31:36.135 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:31:37.149 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3327900 kPa ; Time: 22:31:38.146 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3327900 kPa ; Time: 22:31:39.146 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316400 kPa ; Time: 22:31:40.142 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316400 kPa ; Time: 22:31:41.161 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3305600 kPa ; Time: 22:31:42.176 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316400 kPa ; Time: 22:31:43.174 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3327900 kPa ; Time: 22:31:44.193 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:31:45.208 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328000 kPa ; Time: 22:31:46.211 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339700 kPa ; Time: 22:31:47.224 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333800 kPa ; Time: 22:31:48.224 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351100 kPa ; Time: 22:31:49.227 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:31:50.225 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351100 kPa ; Time: 22:31:51.227 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362600 kPa ; Time: 22:31:52.240 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374200 kPa ; Time: 22:31:53.237 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3385000 kPa ; Time: 22:31:54.252 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3390800 kPa ; Time: 22:31:55.252 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374300 kPa ; Time: 22:31:56.270 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3385000 kPa ; Time: 22:31:57.269 ; Date: 27.11.2020
