BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0.0024414062,0,0.0024414062,0,0.0024414062,0,9703,0,7094,0,3.0495727,0,3.4109132,0,0,0,0,0,100,0,100,0,0,0,0,0,199.25034,0,1.1754713e-34,0,0,0,0,0,0,0,15.3,0,13.9,0,0,0,4.133738,0,16.1,0,0,0,0,0,"2020-09-21T14:05:59.217Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9706,0,7094,0,3.033426,0,3.4602265,0,0,0,0,0,100,0,100,0,0,0,0,0,188.67966,0,1.1754713e-34,0,0,0,0,0,0,0,14.9,0,13.3,0,0,0,4.3035846,0,15,0,0,0,0,0,"2020-09-21T14:06:57.811Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:08:22.679Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,9712,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,197.314,0,1.1754713e-34,0,0,0,0,0,0,0,26.1,0,24.4,0,0,0,4.5411,0,16.8,0,0,0,0,0,"2020-09-21T14:08:59.235Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:09:59.192Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9719,0,7094,0,0.0021820068,0,0.0021820068,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,204.6623,0,1.1754713e-34,0,0,0,0,0,0,0,28.1,0,26.5,0,0,0,0,0,18.2,0,0,0,0,0,"2020-09-21T14:10:59.225Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:11:59.164Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9726,0,7094,0,0.0026184083,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,208.0918,0,1.1754713e-34,0,0,0,0,0,0,0,28.6,0,27.8,0,0,0,0,0,18.8,0,0,0,0,0,"2020-09-21T14:12:59.229Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9730,0,7094,0,0.0021820068,0,0.0021820068,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,207.27243,0,1.1754713e-34,0,0,0,0,0,0,0,28.5,0,27.6,0,0,0,4.773283,0,18.8,0,0,0,0,0,"2020-09-21T14:13:59.232Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9733,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,200.3472,0,1.1754713e-34,0,0,0,0,0,0,0,29.1,0,28.3,0,0,0,5.107478,0,19,0,0,0,0,0,"2020-09-21T14:14:57.816Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9736,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,197.141,0,1.1754713e-34,0,0,0,0,0,0,0,28.9,0,28.5,0,0,0,6.3730183,0,19.1,0,0,0,0,0,"2020-09-21T14:15:59.226Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9740,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,215.2826,0,1.1754713e-34,0,0,0,0,0,0,0,29.1,0,28.6,0,0,0,6.3912864,0,19.1,0,0,0,0,0,"2020-09-21T14:16:57.821Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9743,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,199.78395,0,1.1754713e-34,0,0,0,0,0,0,0,29.6,0,28.5,0,0,0,0,0,19.3,0,0,0,0,0,"2020-09-21T14:18:00.227Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9747,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,205.25299,0,1.1754713e-34,0,0,0,0,0,0,0,29.6,0,28.4,0,0,0,0,0,19.4,0,0,0,0,0,"2020-09-21T14:19:00.240Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:19:59.209Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9753,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.016479492,0,0,0,0,0,0,0,0,0,188.27809,0,1.1754713e-34,0,0,0,0,0,0,0,29.6,0,28.4,0,0,0,0,0,19.5,0,0,0,0,0,"2020-09-21T14:20:59.232Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:21:59.182Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9759,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,190.37064,0,1.1754713e-34,0,0,0,0,0,0,0,28.8,0,27.6,0,0,0,0,0,19.6,0,0,0,0,0,"2020-09-21T14:22:59.235Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,9763,0,7094,0,0.0021820068,0,0.0021820068,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,212.58615,0,1.1754713e-34,0,0,0,0,0,0,0,28.5,0,27.3,0,0,0,0,0,19.7,0,0,0,0,0,"2020-09-21T14:23:59.234Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:24:59.157Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9769,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,194.63132,0,1.1754713e-34,0,0,0,0,0,0,0,28.3,0,27,0,0,0,0,0,19.6,0,0,0,0,0,"2020-09-21T14:25:59.250Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-21T14:26:59.183Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9775,0,7094,0,0.0021820068,0,0.0021820068,0,0.017852783,0,0.016479492,0,0,0,0,0,0,0,0,0,194.72481,0,1.1754713e-34,0,0,0,0,0,0,0,27.6,0,27.1,0,0,0,0,0,19.5,0,0,0,0,0,"2020-09-21T14:27:59.243Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9779,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,203.4593,0,1.1754713e-34,0,0,0,0,0,0,0,27.9,0,27.2,0,0,0,0,0,19.5,0,0,0,0,0,"2020-09-21T14:28:59.243Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,9782,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.016479492,0,0,0,0,0,0,0,0,0,190.75601,0,1.1754713e-34,0,0,0,0,0,0,0,27.5,0,27.3,0,0,0,0,0,19.4,0,0,0,0,0,"2020-09-21T14:29:57.821Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9786,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,207.86023,0,1.1754713e-34,0,0,0,0,0,0,0,27.2,0,27.1,0,0,0,0,0,19.4,0,0,0,0,0,"2020-09-21T14:30:59.233Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9788,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,187.57835,0,1.1754713e-34,0,0,0,0,0,0,0,27.3,0,27.5,0,0,0,0,0,19.4,0,0,0,0,0,"2020-09-21T14:31:57.826Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,9792,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.016479492,0,0,0,0,0,0,0,0,0,192.10997,0,1.1754713e-34,0,0,0,0,0,0,0,27.8,0,28,0,0,0,0,0,19.4,0,0,0,0,0,"2020-09-21T14:33:00.244Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,9795,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,188.0233,0,1.1754713e-34,0,0,0,0,0,0,0,27.6,0,28,0,0,0,0,0,19.5,0,0,0,0,0,"2020-09-21T14:33:59.227Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9798,0,7094,0,0.0026184083,0,0.0026184083,0,0.017852783,0,0.019226074,0,0,0,0,0,0,0,0,0,197.14783,0,1.1754713e-34,0,0,0,0,0,0,0,27.5,0,28,0,0,0,0,0,19.5,0,0,0,0,0,"2020-09-21T14:34:57.831Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9802,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,210.10475,0,1.1754713e-34,0,0,0,0,0,0,0,27.4,0,28,0,0,0,0,0,19.6,0,0,0,0,0,"2020-09-21T14:35:59.242Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9805,0,7094,0,0.0021820068,0,0.0026184083,0,0.016479492,0,0.017852783,0,0,0,0,0,0,0,0,0,209.46492,0,1.1754713e-34,0,0,0,0,0,0,0,27.7,0,28.1,0,0,0,0,0,19.6,0,0,0,0,0,"2020-09-21T14:36:57.835Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,9809,0,7094,0,0.0021820068,0,0.0026184083,0,0.017852783,0,0.017852783,0,0,0,0,0,0,0,0,0,203.96573,0,1.1754713e-34,0,0,0,0,0,0,0,28.1,0,28.2,0,0,0,0,0,19.7,0,0,0,0,0,"2020-09-21T14:38:00.252Z"
