BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-10T10:16:48.242Z"
2.4224854,0,3.6346436,0,3.515625,0,349032,0,176026,0,2.1348755,0,2.4394836,0,8.004913,0,8.134003,0,50,0,70,0,40,0,70,0,837.6588,0,608.6982,0,80,0,150,0,150,0,-1.9,0,4.6,0,13.529578,0,-23.275791,0,-86,0,-86,0,23.397518,0,"2020-09-10T10:17:48.286Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-10T10:18:48.236Z"
2.4267578,0,3.6767578,0,3.5351562,0,349060,0,176047,0,2.1514587,0,2.4346833,0,8.000793,0,8.136749,0,50,0,70,0,40,0,70,0,829.3756,0,641.16327,0,80,0,150,0,150,0,-1.2,0,5,0,13.726443,0,0,0,-85.9,0,-86,0,26.608585,0,"2020-09-10T10:19:48.307Z"
2.4261475,0,3.6193848,0,3.5235596,0,349076,0,176057,0,2.1414216,0,2.4329376,0,7.9953003,0,8.139496,0,50,0,70,0,40,0,70,0,864.51056,0,622.509,0,80,0,150,0,150,0,-1.5,0,4.7,0,13.937914,0,-23.90565,0,-86,0,-86,0,25.009882,0,"2020-09-10T10:20:48.319Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-10T10:21:48.306Z"
2.4212646,0,3.651123,0,3.517456,0,349105,0,176079,0,2.1405487,0,2.4429748,0,8.009033,0,8.123016,0,50,0,70,0,40,0,70,0,873.1024,0,657.4391,0,80,0,150,0,150,0,-2.8,0,4.6,0,14.087171,0,0,0,-86,0,-86,0,26.686907,0,"2020-09-10T10:22:48.317Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-10T10:23:48.252Z"
2.418213,0,3.6590576,0,3.5583496,0,349136,0,176105,0,2.1492767,0,2.4429748,0,8.006287,0,8.134003,0,50,0,70,0,40,0,70,0,912.19214,0,734.82574,0,80,0,150,0,150,0,-3.3,0,4.1,0,14.165814,0,-23.897295,0,-86,0,-86,0,26.13219,0,"2020-09-10T10:24:48.333Z"
2.425537,0,3.6279297,0,3.519287,0,349151,0,176124,0,2.1518953,0,2.4399202,0,8.009033,0,8.142242,0,50,0,70,0,40,0,70,0,919.2822,0,1011.6152,0,80,0,150,0,150,0,-3.3,0,4.1,0,13.553261,0,0,0,-85.9,0,-86,0,27.270367,0,"2020-09-10T10:25:48.314Z"
