BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0.0024414062,0,0.0024414062,0,0.0024414062,0,388411,0,210730,0,3.0185883,0,3.502121,0,0,0,0,0,100,0,100,0,0,0,0,0,193.25536,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:20:31.286Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388415,0,210730,0,3.0452087,0,3.528305,0,0,0,0,0,100,0,100,0,0,0,0,0,201.4084,0,1.1753991e-34,0,0,0,0,0,0,0,14.3,0,14.1,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:21:32.696Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388418,0,210730,0,2.9819305,0,3.5051758,0,0,0,0,0,100,0,100,0,0,0,0,0,195.44142,0,1.1753991e-34,0,0,0,0,0,0,0,14.3,0,14.1,0,0,0,0,0,12.3,0,0,0,0,0,"2020-09-16T00:22:31.290Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388421,0,210730,0,3.0325532,0,3.5256867,0,0,0,0,0,100,0,100,0,0,0,0,0,189.07733,0,1.1753991e-34,0,0,0,0,0,0,0,14.4,0,14.2,0,0,0,0,0,12.3,0,0,0,0,0,"2020-09-16T00:23:32.407Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388424,0,210730,0,2.988913,0,3.4541168,0,0,0,0,0,100,0,100,0,0,0,0,0,182.6438,0,1.1753991e-34,0,0,0,0,0,0,0,14.5,0,14.2,0,0,0,0,0,12.3,0,0,0,0,0,"2020-09-16T00:24:32.729Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388428,0,210730,0,3.0639741,0,3.5182679,0,0,0,0,0,100,0,100,0,0,0,0,0,200.56184,0,1.1753991e-34,0,0,0,0,0,0,0,14.5,0,14.3,0,0,0,0,0,12.4,0,0,0,0,0,"2020-09-16T00:25:31.305Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388432,0,210730,0,3.053064,0,3.4789917,0,0,0,0,0,100,0,100,0,0,0,0,0,198.86261,0,1.1753991e-34,0,0,0,0,0,0,0,14.5,0,14.3,0,0,0,0,0,12.4,0,0,0,0,0,"2020-09-16T00:26:32.736Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388435,0,210730,0,3.0242615,0,3.534851,0,0,0,0,0,100,0,100,0,0,0,0,0,196.18277,0,1.1753991e-34,0,0,0,0,0,0,0,14.4,0,14.3,0,0,0,0,0,12.4,0,0,0,0,0,"2020-09-16T00:27:31.309Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388439,0,210730,0,3.0369172,0,3.5256867,0,0,0,0,0,100,0,100,0,0,0,0,0,207.95982,0,1.1753991e-34,0,0,0,0,0,0,0,14.4,0,14.2,0,0,0,0,0,12.4,0,0,0,0,0,"2020-09-16T00:28:32.442Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388443,0,210730,0,3.0260072,0,3.5523071,0,0,0,0,0,100,0,100,0,0,0,0,0,201.05276,0,1.1753991e-34,0,0,0,0,0,0,0,14.3,0,14.1,0,0,0,0,0,12.3,0,0,0,0,0,"2020-09-16T00:29:33.722Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:30:32.684Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388450,0,210730,0,3.0220795,0,3.5409608,0,0,0,0,0,100,0,100,0,0,0,0,0,205.20743,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,13.9,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:31:32.726Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:32:32.813Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388456,0,210730,0,2.9958954,0,3.526123,0,0,0,0,0,100,0,100,0,0,0,0,0,185.96841,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,13.9,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:33:32.746Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388460,0,210730,0,3.0068054,0,3.5121582,0,0,0,0,0,100,0,100,0,0,0,0,0,201.3973,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.9,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:34:32.763Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388463,0,210730,0,3.0233886,0,3.4785554,0,0,0,0,0,100,0,100,0,0,0,0,0,189.7569,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:35:31.336Z"
