BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0.0024414062,0,0.0024414062,0,0.0024414062,0,317404,0,158249,0,0.0021820068,0,0.0026184083,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1754677e-34,0,1.1753812e-34,0,0,0,0,0,0,0,17.1,0,14.3,0,10.357108,0,0,0,16.9,0,0,0,0,0,"2020-09-04T20:56:07.400Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-04T20:57:07.338Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-04T20:58:28.422Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,317404,0,158249,0,0.0021820068,0,0.0026184083,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1754677e-34,0,1.1753812e-34,0,0,0,0,0,0,0,16.7,0,13.8,0,12.060572,0,7.5906076,0,15,0,0,0,0,0,"2020-09-04T20:59:07.374Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-04T21:00:28.093Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,317404,0,158249,0,0.0021820068,0,0.0026184083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48549622,0,1.1753812e-34,0,0,0,0,0,0,0,16.6,0,14.3,0,0,0,7.77639,0,15,0,0,0,0,0,"2020-09-04T21:01:07.374Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-04T21:02:07.323Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,317404,0,158249,0,0.0021820068,0,0.0021820068,0,0,0,0,0,0,0,0,0,0,0,0,0,9.886211,0,1.1753812e-34,0,0,0,0,0,0,0,15.9,0,14.2,0,12.082198,0,7.7807603,0,14,0,0,0,0,0,"2020-09-04T21:03:08.403Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,317404,0,158249,0,0.0021820068,0,0.0021820068,0,0,0,0,0,0,0,0,0,0,0,0,0,20.814823,0,1.1753812e-34,0,0,0,0,0,0,0,15.7,0,14.2,0,12.082542,0,0,0,13.8,0,0,0,0,0,"2020-09-04T21:04:05.962Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,317404,0,158249,0,0.0021820068,0,0.0021820068,0,0,0,0,0,0,0,0,0,0,0,0,0,30.617504,0,1.1753812e-34,0,0,0,0,0,0,0,15.3,0,14.1,0,8.604083,0,0,0,13.6,0,0,0,0,0,"2020-09-04T21:05:08.405Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,317404,0,158249,0,0.0017456055,0,0.0021820068,0,0,0,0,0,0,0,0,0,0,0,0,0,36.574005,0,1.1753812e-34,0,0,0,0,0,0,0,15.5,0,13.9,0,-2.0671556,0,7.847722,0,13.2,0,0,0,0,0,"2020-09-04T21:06:05.961Z"
