BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
1.7584229,0,2.6989746,0,3.5687256,0,104297,0,88757,0,2.1383667,0,2.4656677,0,8.0104065,0,8.094177,0,50,0,70,0,40,0,70,0,758.5599,0,539.76074,0,60,0,90,0,150,0,7.9,0,4.5,0,16.132296,0,-50.721016,0,-76,0,-76,0,20.23176,0,"2020-10-02T10:40:05.974Z"
1.7749023,0,2.7020264,0,3.5986328,0,104310,0,88766,0,2.1453493,0,2.4643586,0,8.017273,0,8.101044,0,50,0,70,0,40,0,70,0,770.8414,0,557.15076,0,60,0,90,0,150,0,7.8,0,4.4,0,16.127647,0,-50.706554,0,-76,0,-76,0,20.491734,0,"2020-10-02T10:41:04.862Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-10-02T10:42:06.209Z"
1.7572021,0,2.701416,0,3.6053467,0,104336,0,88782,0,2.1401124,0,2.4503937,0,8.002167,0,8.101044,0,50,0,70,0,40,0,70,0,770.8704,0,469.73993,0,60,0,90,0,150,0,7.9,0,4.4,0,16.2206,0,-50.62379,0,-76,0,-76,0,20.789206,0,"2020-10-02T10:43:07.282Z"
1.7657471,0,2.7056885,0,3.5632324,0,104347,0,88790,0,2.1361847,0,2.4586854,0,8.004913,0,8.10379,0,50,0,70,0,40,0,70,0,749.1618,0,497.6974,0,60,0,90,0,150,0,8,0,4.3,0,16.116886,0,-50.86491,0,-76.1,0,-76,0,18.906864,0,"2020-10-02T10:44:04.870Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-10-02T10:45:26.378Z"
1.7871094,0,2.7038574,0,3.583374,0,104374,0,88813,0,2.1457856,0,2.4634857,0,8.018646,0,8.105164,0,50,0,70,0,40,0,70,0,788.63934,0,629.2853,0,60,0,90,0,150,0,8,0,4,0,15.892425,0,-50.898975,0,-76,0,-76,0,20.994202,0,"2020-10-02T10:46:06.303Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-10-02T10:47:06.222Z"
1.7816162,0,2.7093506,0,3.597412,0,104401,0,88837,0,2.1396759,0,2.4613037,0,8.014526,0,8.113403,0,50,0,70,0,40,0,70,0,790.253,0,679.7915,0,60,0,90,0,150,0,7.9,0,4.3,0,15.590108,0,-50.83567,0,-75.9,0,-76,0,22.446577,0,"2020-10-02T10:48:07.282Z"
1.7858887,0,2.7050781,0,3.581543,0,104414,0,88849,0,2.1470947,0,2.4709046,0,8.018646,0,8.109283,0,50,0,70,0,40,0,70,0,806.3999,0,727.30835,0,60,0,90,0,150,0,8,0,4.2,0,15.474667,0,-51.1039,0,-76,0,-76,0,21.899128,0,"2020-10-02T10:49:04.878Z"
